Year,Exam_Date,Name,Category,Sex,State,Maths_Marks,Physics_Marks,Chemistry_Marks,Total_Marks,Rank,Percentile
2013,2013-04-18,Jairaj Pai,General,M,West Bengal,76,47,76,199,85,47.16981132075472
2013,2013-04-16,Arya Comar,General,M,Karnataka,57,49,37,143,141,11.949685534591193
2013,2013-04-20,Joshua Bala,General,M,Bihar,55,87,52,194,90,44.0251572327044
2013,2013-04-20,Vyanjana Kota,Reserved,M,Rajasthan,43,78,64,185,89,36.23188405797102
2013,2013-04-20,Warjas Pant,General,F,Bihar,51,42,82,175,109,32.07547169811321
2013,2013-04-16,Lakshmi Mangal,General,M,Rajasthan,68,80,87,235,49,69.81132075471699
2013,2013-04-18,Ekalinga Soman,Reserved,M,Andhra Pradesh,46,53,34,133,134,3.6231884057971064
2013,2013-04-20,Indira Saraf,General,F,Andhra Pradesh,53,72,45,170,114,28.9308176100629
2013,2013-04-19,Ethan Toor,General,M,Tamil Nadu,94,45,46,185,99,38.36477987421384
2013,2013-04-21,Deepa Kala,General,M,Maharashtra,51,77,61,189,95,40.88050314465409
2013,2013-04-16,Naveen Minhas,General,F,Bihar,74,54,81,209,75,53.459119496855344
2013,2013-04-16,Yashoda Sundaram,Reserved,F,Tamil Nadu,44,54,49,147,125,10.144927536231885
2013,2013-04-18,Falak Agrawal,General,F,West Bengal,56,55,95,206,78,51.57232704402516
2013,2013-04-16,Odika Karan,Reserved,M,Tamil Nadu,97,91,30,218,56,60.14492753623188
2013,2013-04-16,Hredhaan Batta,General,F,Uttar Pradesh,81,84,87,252,32,80.50314465408806
2013,2013-04-20,Dipta Vig,General,F,Andhra Pradesh,71,60,73,204,80,50.314465408805034
2013,2013-04-18,Kiaan Bhattacharyya,General,M,Uttar Pradesh,49,64,35,148,136,15.094339622641506
2013,2013-04-20,Urvashi Banerjee,General,M,Bihar,82,65,79,226,58,64.15094339622642
2013,2013-04-21,Kamya Khosla,General,M,Karnataka,56,76,49,181,103,35.84905660377359
2013,2013-04-21,Ethan Naidu,Reserved,M,Karnataka,44,95,43,182,92,34.05797101449275
2013,2013-04-20,Lila Varghese,General,M,West Bengal,84,95,34,213,71,55.9748427672956
2013,2013-04-21,George Behl,Reserved,F,Tamil Nadu,81,51,70,202,72,48.550724637681164
2013,2013-04-18,Yahvi Sem,General,F,Karnataka,48,53,69,170,114,28.9308176100629
2013,2013-04-15,Dayita Chaudhry,Reserved,F,Rajasthan,88,85,63,236,38,73.18840579710144
2013,2013-04-20,Sarthak Natt,Reserved,M,Rajasthan,72,97,74,243,32,77.53623188405797
2013,2013-04-19,Liam Bala,Reserved,M,West Bengal,75,64,100,239,36,74.63768115942028
2013,2013-04-19,Janya Malhotra,Reserved,M,Gujarat,75,59,100,234,40,71.73913043478262
2013,2013-04-16,Jagvi Swaminathan,Reserved,F,Andhra Pradesh,57,60,56,173,101,27.536231884057973
2013,2013-04-21,Abhiram Doshi,General,F,Tamil Nadu,48,90,73,211,73,54.71698113207547
2013,2013-04-19,Anmol Chakraborty,General,M,Bihar,96,56,62,214,70,56.60377358490566
2013,2013-04-16,Darpan Vasa,General,F,Madhya Pradesh,68,53,62,183,101,37.106918238993714
2013,2013-04-15,Wishi Bala,Reserved,M,Madhya Pradesh,100,65,73,238,37,73.91304347826086
2013,2013-04-18,Isha Menon,General,F,Madhya Pradesh,89,60,49,198,86,46.540880503144656
2013,2013-04-18,Yashvi Doctor,Reserved,F,Karnataka,53,76,65,194,80,42.7536231884058
2013,2013-04-18,Faraj Konda,General,F,Gujarat,64,75,36,175,109,32.07547169811321
2013,2013-04-19,Dayita Keer,General,M,Gujarat,54,57,61,172,112,30.188679245283023
2013,2013-04-15,Gaurav Behl,General,F,Tamil Nadu,45,81,96,222,62,61.63522012578616
2013,2013-04-19,Rachita Bath,General,F,Tamil Nadu,95,47,68,210,74,54.088050314465406
2013,2013-04-21,Chakradhar Bath,General,M,Gujarat,81,100,53,234,50,69.18238993710692
2013,2013-04-19,Simon Iyer,General,F,West Bengal,68,100,99,267,18,89.30817610062893
2013,2013-04-15,Avni Boase,General,M,Tamil Nadu,54,50,83,187,97,39.62264150943396
2013,2013-04-15,Megha Modi,General,M,West Bengal,68,62,67,197,87,45.911949685534594
2013,2013-04-21,Maya Chacko,General,M,Uttar Pradesh,43,69,61,173,111,30.817610062893085
2013,2013-04-15,Jai Vaidya,General,M,Rajasthan,57,75,74,206,78,51.57232704402516
2013,2013-04-15,Ayaan Mangat,Reserved,M,Andhra Pradesh,89,65,90,244,31,78.26086956521739
2013,2013-04-18,Caleb Raja,General,F,Tamil Nadu,96,66,99,261,23,86.16352201257862
2013,2013-04-21,Tristan Nadig,General,M,Gujarat,88,88,82,258,26,84.27672955974843
2013,2013-04-17,Diya Sem,General,M,Rajasthan,83,93,80,256,28,83.01886792452831
2013,2013-04-17,Ayaan Sheth,General,M,Rajasthan,78,75,85,238,46,71.69811320754718
2013,2013-04-15,Harrison Doctor,General,M,Maharashtra,55,100,56,211,73,54.71698113207547
2013,2013-04-17,Guneet Maharaj,General,F,Gujarat,50,88,67,205,79,50.943396226415096
2013,2013-04-17,Aarna Thaker,General,M,Andhra Pradesh,53,74,91,218,66,59.11949685534591
2013,2013-04-15,Anita Goel,General,F,Gujarat,42,62,47,151,133,16.981132075471695
2013,2013-04-17,Tanvi Shroff,General,M,Tamil Nadu,90,71,93,254,30,81.76100628930818
2013,2013-04-19,Xavier Agate,Reserved,F,Bihar,89,99,59,247,28,80.43478260869566
2013,2013-04-16,Geetika Sachar,Reserved,M,Uttar Pradesh,81,89,78,248,27,81.15942028985508
2013,2013-04-21,Bakhshi Das,General,M,West Bengal,77,38,70,185,99,38.36477987421384
2013,2013-04-16,Jonathan Bhargava,General,F,Bihar,84,44,42,170,114,28.9308176100629
2013,2013-04-15,Zayyan Pau,General,M,Uttar Pradesh,81,81,63,225,59,63.52201257861636
2013,2013-04-18,Urvi Trivedi,General,F,Bihar,57,48,54,159,125,22.012578616352197
2013,2013-04-21,Rachita Banerjee,Reserved,M,West Bengal,97,72,95,264,15,89.85507246376811
2013,2013-04-15,Farhan Reddy,General,F,Karnataka,59,46,47,152,132,17.610062893081757
2013,2013-04-18,Vivaan Pradhan,General,M,Gujarat,97,79,34,210,74,54.088050314465406
2013,2013-04-16,Charita Sabharwal,General,M,Bihar,87,51,48,186,98,38.9937106918239
2013,2013-04-15,Balveer Pathak,Reserved,F,Tamil Nadu,64,69,71,204,70,50.0
2013,2013-04-21,Isha Thakkar,General,M,Andhra Pradesh,96,100,47,243,41,74.8427672955975
2013,2013-04-21,Ojasvi Mallick,General,M,Madhya Pradesh,77,75,61,213,71,55.9748427672956
2013,2013-04-20,Nidhi Mahal,General,M,Tamil Nadu,52,63,50,165,119,25.786163522012583
2013,2013-04-19,Bhavini Mand,General,M,West Bengal,43,52,39,134,150,6.2893081761006275
2013,2013-04-17,Xavier Parikh,General,M,Andhra Pradesh,94,54,66,214,70,56.60377358490566
2013,2013-04-18,Janaki Peri,General,M,Tamil Nadu,53,48,78,179,105,34.59119496855346
2013,2013-04-20,Max Bera,General,F,Rajasthan,72,68,42,182,102,36.47798742138365
2013,2013-04-17,Ijaya Ram,General,F,Gujarat,67,83,84,234,50,69.18238993710692
2013,2013-04-17,Jagat Batra,General,F,Andhra Pradesh,91,88,46,225,59,63.52201257861636
2013,2013-04-15,Chaitanya Talwar,General,M,Rajasthan,76,65,38,179,105,34.59119496855346
2013,2013-04-17,Madhavi Korpal,General,F,Tamil Nadu,47,92,73,212,72,55.34591194968554
2013,2013-04-19,Diya Nadig,General,M,Uttar Pradesh,83,76,75,234,50,69.18238993710692
2013,2013-04-21,Benjamin Sule,Reserved,M,Maharashtra,73,92,37,202,72,48.550724637681164
2013,2013-04-20,Vasana Bajaj,General,M,Uttar Pradesh,83,64,66,213,71,55.9748427672956
2013,2013-04-17,Rishi Kibe,General,M,Gujarat,44,59,48,151,133,16.981132075471695
2013,2013-04-15,Warda Raju,General,F,Andhra Pradesh,93,97,92,282,6,96.85534591194968
2013,2013-04-19,Nitesh Naik,General,M,Andhra Pradesh,44,53,75,172,112,30.188679245283023
2013,2013-04-16,Raksha Misra,Reserved,F,Gujarat,70,42,100,212,62,55.79710144927537
2013,2013-04-21,Jackson Kota,General,M,Rajasthan,84,37,55,176,108,32.704402515723274
2013,2013-04-21,Eesha Savant,Reserved,F,Maharashtra,48,51,75,174,100,28.260869565217394
2013,2013-04-20,Wazir Rastogi,General,F,Tamil Nadu,81,48,75,204,80,50.314465408805034
2013,2013-04-21,Raksha Hayre,General,F,West Bengal,71,43,43,157,127,20.75471698113207
2013,2013-04-17,Vasudha Nayar,Reserved,F,Uttar Pradesh,72,96,92,260,19,86.95652173913044
2013,2013-04-15,Praneel Halder,Reserved,F,Uttar Pradesh,42,55,32,129,136,2.1739130434782594
2013,2013-04-21,Frado Samra,Reserved,F,Madhya Pradesh,69,71,57,197,77,44.927536231884055
2013,2013-04-21,Bina Swamy,Reserved,M,Maharashtra,89,45,58,192,82,41.30434782608695
2013,2013-04-16,Ryan Aggarwal,General,F,West Bengal,51,54,47,152,132,17.610062893081757
2013,2013-04-16,Faqid Baral,Reserved,M,Uttar Pradesh,68,69,64,201,73,47.82608695652174
2013,2013-04-18,Diya Dutta,General,F,West Bengal,42,87,76,205,79,50.943396226415096
2013,2013-04-19,Vritti Varughese,Reserved,M,Tamil Nadu,65,81,34,180,94,32.608695652173914
2013,2013-04-17,Unni Bail,General,F,Andhra Pradesh,96,86,88,270,15,91.19496855345912
2013,2013-04-21,Udarsh Kala,Reserved,F,West Bengal,100,42,88,230,44,68.84057971014492
2013,2013-04-21,Charita Mahajan,General,M,Uttar Pradesh,69,38,76,183,101,37.106918238993714
2013,2013-04-15,Ojasvi Bala,General,F,Rajasthan,48,61,42,151,133,16.981132075471695
2013,2013-04-18,Sathvik Chakraborty,General,F,Maharashtra,65,78,62,205,79,50.943396226415096
2013,2013-04-19,Kevin D’Alia,Reserved,F,Gujarat,41,74,91,206,68,51.44927536231884
2013,2013-04-18,Vritti Memon,General,M,Bihar,42,81,45,168,116,27.672955974842772
2013,2013-04-20,Ucchal Kannan,General,F,Karnataka,85,78,73,236,48,70.44025157232706
2013,2013-04-19,Ekansh Prakash,General,M,Karnataka,43,82,87,212,72,55.34591194968554
2013,2013-04-21,Vihaan Bahl,General,F,Bihar,64,86,35,185,99,38.36477987421384
2013,2013-04-21,Zinal Sachar,Reserved,F,West Bengal,90,45,44,179,95,31.88405797101449
2013,2013-04-19,Gayathri Pau,General,M,Maharashtra,52,38,33,123,158,1.2578616352201255
2013,2013-04-21,Zashil Pandey,Reserved,F,West Bengal,78,82,85,245,30,78.98550724637681
2013,2013-04-17,Bhavika Chadha,General,F,Gujarat,83,60,93,236,48,70.44025157232706
2013,2013-04-19,Chakrika Raman,General,M,Maharashtra,74,73,97,244,40,75.47169811320755
2013,2013-04-18,Vincent Patel,Reserved,F,Bihar,94,92,63,249,26,81.88405797101449
2013,2013-04-19,Dakshesh Swamy,General,M,West Bengal,62,53,85,200,84,47.79874213836478
2013,2013-04-21,Ikbal Krishnan,General,M,Madhya Pradesh,48,92,61,201,83,48.42767295597484
2013,2013-04-17,Anya Bhasin,General,M,Uttar Pradesh,41,62,38,141,143,10.691823899371066
2013,2013-04-17,Sachi Dubey,Reserved,F,Rajasthan,100,100,92,292,1,100.0
2013,2013-04-20,Finn Sarkar,General,M,Andhra Pradesh,93,44,62,199,85,47.16981132075472
2013,2013-04-18,Ubika Bhardwaj,Reserved,M,Rajasthan,80,92,50,222,52,63.04347826086957
2013,2013-04-16,Hema Sachar,Reserved,F,Gujarat,83,48,84,215,59,57.971014492753625
2013,2013-04-16,Sudiksha Savant,General,M,West Bengal,70,49,86,205,79,50.943396226415096
2013,2013-04-19,Amruta Kannan,General,F,Tamil Nadu,83,67,31,181,103,35.84905660377359
2013,2013-04-20,Lipika Amble,General,F,Maharashtra,86,51,42,179,105,34.59119496855346
2013,2013-04-15,Krish Sastry,General,F,West Bengal,41,58,33,132,152,5.031446540880502
2013,2013-04-19,Kritika Bal,General,F,Maharashtra,71,64,79,214,70,56.60377358490566
2013,2013-04-20,Sara Singh,General,M,Andhra Pradesh,57,96,77,230,54,66.66666666666667
2013,2013-04-18,Sathvik Deep,General,M,Madhya Pradesh,52,47,59,158,126,21.383647798742132
2013,2013-04-18,Tejas Sanghvi,Reserved,M,Rajasthan,85,96,58,239,36,74.63768115942028
2013,2013-04-18,Ekani Kannan,Reserved,M,Uttar Pradesh,44,81,37,162,111,20.28985507246377
2013,2013-04-18,Nimrat Mammen,Reserved,M,Andhra Pradesh,97,50,41,188,86,38.40579710144928
2013,2013-04-18,Yatin Nagar,General,F,Andhra Pradesh,81,100,70,251,33,79.87421383647799
2013,2013-04-20,Pratyush Sha,General,M,Rajasthan,83,77,55,215,69,57.23270440251572
2013,2013-04-20,Yug Kalla,General,M,Andhra Pradesh,49,42,79,170,114,28.9308176100629
2013,2013-04-17,Maanas Shanker,Reserved,M,Tamil Nadu,95,37,31,163,110,21.014492753623195
2013,2013-04-16,Vidhi Kibe,General,F,Tamil Nadu,82,46,84,212,72,55.34591194968554
2013,2013-04-21,Dipta Dani,Reserved,F,Karnataka,64,50,85,199,75,46.37681159420289
2013,2013-04-18,Sarthak Barad,General,M,Karnataka,73,93,43,209,75,53.459119496855344
2013,2013-04-15,Kashish Kulkarni,General,F,Tamil Nadu,76,83,35,194,90,44.0251572327044
2013,2013-04-21,Urvi More,Reserved,M,Bihar,69,97,90,256,21,85.5072463768116
2013,2013-04-20,Indali Bath,General,M,Madhya Pradesh,46,96,41,183,101,37.106918238993714
2013,2013-04-15,Manbir Gera,Reserved,F,Maharashtra,45,83,42,170,104,25.36231884057971
2013,2013-04-15,Caleb Vora,Reserved,F,Madhya Pradesh,93,85,48,226,48,65.94202898550725
2013,2013-04-15,Shivani Dasgupta,General,M,Gujarat,94,67,73,234,50,69.18238993710692
2013,2013-04-17,Irya Anand,General,M,Andhra Pradesh,42,64,88,194,90,44.0251572327044
2013,2013-04-20,Andrew Chaudry,General,F,Uttar Pradesh,52,93,66,211,73,54.71698113207547
2013,2013-04-15,Yasti Balan,Reserved,M,Andhra Pradesh,42,49,54,145,127,8.695652173913048
2013,2013-04-18,Rayaan Kalita,General,F,Madhya Pradesh,65,57,45,167,117,27.04402515723271
2013,2013-04-19,Lakshit Vohra,General,M,Tamil Nadu,96,79,67,242,42,74.21383647798743
2013,2013-04-15,Gunbir Parsa,General,F,Rajasthan,63,96,72,231,53,67.29559748427674
2013,2013-04-17,Oni Sachdev,Reserved,M,Gujarat,92,49,43,184,90,35.507246376811594
2013,2013-04-21,Yatan Sampath,General,M,Tamil Nadu,45,80,35,160,124,22.64150943396226
2013,2013-04-20,Damyanti Parikh,Reserved,F,Madhya Pradesh,82,98,52,232,42,70.28985507246377
2013,2013-04-17,Chameli Golla,Reserved,M,Rajasthan,99,80,89,268,12,92.02898550724638
2013,2013-04-15,Panini Andra,General,M,Uttar Pradesh,97,90,41,228,56,65.40880503144655
2013,2013-04-20,Shivansh Pall,General,F,Madhya Pradesh,88,78,42,208,76,52.83018867924528
2013,2013-04-19,Lajita Sen,Reserved,M,Maharashtra,81,63,35,179,95,31.88405797101449
2013,2013-04-15,Nisha Panchal,General,M,West Bengal,51,96,92,239,45,72.32704402515724
2013,2013-04-17,Mason Behl,Reserved,M,Rajasthan,88,86,67,241,34,76.08695652173914
2013,2013-04-16,Ryan Toor,General,F,Madhya Pradesh,75,88,79,242,42,74.21383647798743
2013,2013-04-18,Darpan Kade,General,F,Tamil Nadu,41,91,81,213,71,55.9748427672956
2013,2013-04-21,Bhanumati Andra,Reserved,F,Maharashtra,50,100,69,219,55,60.86956521739131
2013,2013-04-17,Unnati Wali,General,M,Bihar,78,56,37,171,113,29.55974842767296
2013,2013-04-20,Nakul Sami,General,M,Rajasthan,73,54,90,217,67,58.490566037735846
2013,2013-04-15,Lavanya Ahluwalia,General,M,Maharashtra,65,67,37,169,115,28.301886792452834
2013,2013-04-18,Jeevika Gill,General,M,Tamil Nadu,57,59,63,179,105,34.59119496855346
2013,2013-04-15,Wyatt Upadhyay,General,F,Madhya Pradesh,60,80,89,229,55,66.03773584905662
2013,2013-04-20,Ayushman Mane,General,M,Andhra Pradesh,75,91,86,252,32,80.50314465408806
2013,2013-04-15,Vinaya Butala,Reserved,M,Uttar Pradesh,79,39,75,193,81,42.028985507246375
2013,2013-04-16,Panini Gopal,General,M,Andhra Pradesh,91,89,51,231,53,67.29559748427674
2013,2013-04-18,Jagat Kurian,General,F,West Bengal,85,95,69,249,35,78.61635220125787
2013,2013-04-18,Yamini Tella,General,M,Maharashtra,83,42,74,199,85,47.16981132075472
2013,2013-04-20,Rajata Sanghvi,Reserved,M,West Bengal,61,50,84,195,79,43.47826086956522
2013,2013-04-21,Anay Bose,General,M,Uttar Pradesh,92,82,80,254,30,81.76100628930818
2013,2013-04-16,Lopa Pillay,Reserved,M,Maharashtra,98,95,34,227,47,66.66666666666667
2013,2013-04-17,Balveer Ramesh,General,M,Karnataka,69,49,42,160,124,22.64150943396226
2013,2013-04-15,Amol Bakshi,General,F,Tamil Nadu,89,99,57,245,39,76.10062893081762
2013,2013-04-19,Imaran Maharaj,General,M,Maharashtra,82,56,91,229,55,66.03773584905662
2013,2013-04-15,Nisha Kunda,General,M,Tamil Nadu,100,37,53,190,94,41.509433962264154
2013,2013-04-15,Omya Gour,General,M,Andhra Pradesh,99,88,36,223,61,62.264150943396224
2013,2013-04-17,Udarsh Bir,General,M,Gujarat,69,48,67,184,100,37.735849056603776
2013,2013-04-15,Advik Radhakrishnan,Reserved,M,Rajasthan,47,70,66,183,91,34.78260869565217
2013,2013-04-16,Qushi Deshmukh,General,M,Gujarat,73,44,97,214,70,56.60377358490566
2013,2013-04-16,Avni Patla,General,M,Madhya Pradesh,96,83,71,250,34,79.24528301886792
2013,2013-04-18,Jack Shanker,General,M,Rajasthan,86,99,34,219,65,59.74842767295597
2013,2013-04-20,Amara Vaidya,Reserved,M,Rajasthan,48,91,93,232,42,70.28985507246377
2013,2013-04-21,Hitesh Ganguly,General,M,Bihar,90,61,79,230,54,66.66666666666667
2013,2013-04-19,Vyanjana Mani,General,F,Rajasthan,59,39,44,142,142,11.32075471698113
2013,2013-04-15,Nimrat Tella,General,F,Uttar Pradesh,79,91,82,252,32,80.50314465408806
2013,2013-04-15,Anthony Om,Reserved,F,Gujarat,64,49,54,167,107,23.188405797101453
2013,2013-04-17,Siddharth Gala,General,F,Andhra Pradesh,58,64,38,160,124,22.64150943396226
2013,2013-04-20,Aarna Pandey,General,M,Tamil Nadu,44,54,67,165,119,25.786163522012583
2013,2013-04-16,Samuel Manne,Reserved,F,Madhya Pradesh,50,71,51,172,102,26.811594202898547
2013,2013-04-19,Owen Verma,Reserved,F,Rajasthan,54,37,78,169,105,24.63768115942029
2013,2013-04-18,Arya Jain,General,M,Madhya Pradesh,47,75,97,219,65,59.74842767295597
2013,2013-04-16,Reyansh Jayaraman,Reserved,F,Andhra Pradesh,58,73,44,175,99,28.985507246376805
2013,2013-04-20,Xavier Salvi,General,F,Madhya Pradesh,62,60,94,216,68,57.861635220125784
2013,2013-04-21,Onveer Chopra,General,M,Andhra Pradesh,66,36,83,185,99,38.36477987421384
2013,2013-04-18,Daksh Khurana,General,M,Rajasthan,79,57,59,195,89,44.65408805031446
2013,2013-04-21,Tanish Nagar,General,M,Andhra Pradesh,71,57,49,177,107,33.333333333333336
2013,2013-04-17,Arya Manne,General,F,Rajasthan,65,50,62,177,107,33.333333333333336
2013,2013-04-17,Dalbir Bose,Reserved,F,Bihar,66,43,36,145,127,8.695652173913048
